,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject26_1.edf,1.078409796,1.075195978,1.041925456,1.045832541,1.078822842,1.05819344,1.056679495,1.042904445,1.036930644,1.037210375,1.032539856,1.035446247,0.998856056,1.010602402,0.972718149,0.975520437,1.042245903,1.035815744,1.008548709,1.077146336,1.02775473
Subject24_1.edf,1.111527188,1.113949019,1.093336372,1.08930367,1.11562369,1.109209573,1.096624892,1.097710374,1.078758008,1.07759587,1.099135226,1.083801629,1.045296637,1.032954752,1.036102101,1.021861652,1.094756622,1.078969634,1.036348319,1.180587958,1.057441276
Subject20_1.edf,1.102765952,1.129635308,1.074659623,1.080066626,1.127257236,1.129994814,1.031794464,1.065587069,1.066579247,1.050317909,1.058988563,1.041559325,1.036836452,1.025786265,1.022288653,1.021237986,1.06563439,1.043180608,1.051688965,1.166578456,1.069928144
Subject21_1.edf,1.053060333,1.072209232,1.040836365,1.040531495,1.078160887,1.077458438,1.050090782,1.042712703,1.040736117,1.038109407,1.065123375,1.048125526,1.033415897,1.038834624,1.015050309,1.019483993,1.049816086,1.041184118,1.039642416,1.044751869,1.026841064
Subject29_1.edf,1.050915724,1.048932204,1.020339271,1.021548041,1.049776365,1.053028398,1.01624382,1.008838321,1.012880412,1.007555109,1.013449004,0.970549017,0.974060857,0.969881261,0.950022874,0.945945672,1.013785213,1.011086625,0.97163986,1.053197775,1.086743576
Subject32_1.edf,1.040125176,1.036790219,1.021236362,1.02168178,1.051157059,1.059241569,1.025413027,1.006317152,1.018513018,1.016217512,1.047332796,0.992928563,1.042249124,1.015089584,1.112998308,1.089835977,1.018873984,1.026493546,1.031939792,1.081393682,1.012292775
Subject28_1.edf,1.054382163,1.049114307,1.047911131,1.053167745,1.039506348,1.081369824,1.034723203,1.045957046,1.040171588,1.037144747,1.028647442,1.041621655,1.02130588,1.015473067,1.009219731,0.989094249,1.050381601,1.049060433,1.020062087,1.073057368,1.130592653
Subject03_1.edf,1.064195625,1.057246795,1.019150212,1.020946725,1.052538468,1.039363108,1.033599739,1.035540416,1.01792125,1.014127417,1.025519517,1.009890465,1.005751958,0.997183731,0.972350234,0.992888083,1.017599587,0.996542123,0.978213859,1.045678717,1.123092682
Subject30_1.edf,1.077598183,1.081731617,1.069500313,1.066492476,1.082723093,1.095674026,1.077533173,1.072505058,1.037788394,1.052352082,1.078973819,1.101667004,1.02173684,1.001110053,1.023543105,1.007560024,1.072675113,1.053085516,1.008759346,1.109127098,1.058380577
Subject27_1.edf,1.102200559,1.140297932,1.057698623,1.080496974,1.100627927,1.138276338,1.069508169,1.104555213,1.062953485,1.066766759,1.077344003,1.077583717,1.060017599,1.055646387,1.028919709,1.025588806,1.057638927,1.063261149,1.058153146,1.138982974,1.167647077
Subject06_1.edf,1.08781743,1.088349475,1.088186544,1.075620326,1.099313697,1.078112703,1.090060715,1.059836172,1.086002851,1.064800613,1.128726969,1.058698924,1.097618548,1.059769063,1.15026629,1.093967672,1.078042749,1.074012986,1.078050769,1.116007406,1.11022123
Subject04_1.edf,1.055128957,1.062162829,1.052011218,1.049645893,1.050031982,1.058039552,1.062352918,1.05486804,1.056484585,1.058108167,1.062534175,1.041994106,1.049750349,1.040455871,1.046235322,1.044015276,1.053168345,1.055699844,1.047326326,1.068033073,1.124158302
Subject34_1.edf,1.083018672,1.101882144,1.059712969,1.061029826,1.080745126,1.085938984,1.030289622,1.061533588,1.056016591,1.053927188,1.043633894,1.067298218,1.033670751,1.051785471,1.066812895,1.12662547,1.060636157,1.060032968,1.040930458,1.140366264,1.087081061
Subject35_1.edf,1.104780042,1.119180971,1.102350466,1.111050142,1.119263334,1.118675192,1.092369859,1.124409471,1.115596919,1.118030112,1.129011588,1.112745427,1.104784438,1.106777039,1.082020517,1.085848261,1.105423386,1.120902158,1.10577148,1.133201288,1.086159795
Subject33_1.edf,1.054147128,1.046929432,1.035604392,1.033191639,1.055597276,1.042225819,1.038610131,1.031872154,1.023890956,1.031705213,1.023474799,0.98032098,0.9779043,0.969505007,0.949837222,0.966756606,1.030190365,1.034829641,0.976532171,1.060161786,1.121288056
Subject07_1.edf,1.153442904,1.149113115,1.121452828,1.119026658,1.146793858,1.154750773,1.097851169,1.133052431,1.093550386,1.083637986,1.120634442,1.095447613,1.056057692,1.061509704,1.069936015,1.067452107,1.083048146,1.066141484,1.042974463,1.183542776,1.155064361
Subject05_1.edf,1.093637923,1.122959926,1.058803416,1.055018444,1.078983158,1.093646296,1.067657743,1.056155532,1.054065268,1.042798876,1.126047145,1.040779192,1.017594801,1.009290536,0.987575933,0.981876156,1.065413195,1.045852497,1.021757069,1.068256351,1.007641385
Subject09_1.edf,1.135533512,1.116114071,1.05431525,1.050630171,1.13694818,1.110785509,1.078685664,1.059414176,1.044558696,1.033077979,1.081463851,1.062742702,1.047599812,1.028807843,1.043774769,1.026928144,1.040952479,1.034613912,1.024712005,1.133876697,1.092552794
Subject08_1.edf,1.103492909,1.133433308,1.058754022,1.072524672,1.075951552,1.104626687,1.071862771,1.068517785,1.056118894,1.06353367,1.070598701,1.068525873,1.039391784,1.042358537,1.026768749,1.028488126,1.056504264,1.059305002,1.035534442,1.138757568,1.023928683
Subject31_1.edf,1.142162042,1.114172237,1.097119071,1.095380685,1.113477718,1.114837463,1.092661429,1.079736403,1.082284387,1.088651281,1.092100328,1.093006346,1.07401847,1.080602627,1.05875651,1.047195461,1.092270049,1.085923857,1.075890893,1.192038018,1.034364571
Subject17_1.edf,1.135666505,1.186690489,1.120123938,1.108340964,1.136735376,1.139683507,1.127800461,1.119767951,1.107521494,1.105882895,1.130816707,1.084726287,1.09874,1.088816078,1.067936622,1.07627476,1.105103202,1.102700586,1.102147922,1.20006801,1.077867176
Subject22_1.edf,1.066497835,1.062766762,1.049258892,1.011863357,1.05943415,1.073365493,1.048920655,1.035986898,1.041695181,1.040305415,1.058748056,1.053957797,1.026311782,1.023422528,0.989094725,1.011078388,1.04858548,1.047454638,1.019678817,1.070883113,1.089793657
Subject00_1.edf,1.03703233,1.057102985,1.034385001,1.027243095,1.060588733,1.060239461,1.043558012,1.024487082,1.033414069,1.032589804,1.027554478,1.008563726,1.019141627,1.004304237,1.015864811,0.98856278,1.026752453,1.032016117,1.018443885,1.013442473,1.002932112
Subject23_1.edf,1.019556121,1.080336189,1.020977349,1.016680224,0.994246337,1.050150495,1.005784149,1.08010711,1.010367596,1.011622381,1.002080952,0.999962619,0.986186447,0.987094115,0.950702216,0.953084577,1.007123928,1.009071265,0.988326111,1.043306238,1.063894146
Subject11_2.edf,1.187034256,1.203315315,1.139012509,1.150730042,1.14105608,1.185965071,1.124210178,1.152229261,1.138253242,1.164709254,1.153184578,1.158147631,1.147742457,1.139449952,1.142980305,1.149661961,1.141828194,1.14764496,1.141111211,1.169003402,1.193212257
Subject12_2.edf,1.156779388,1.138846794,1.123100805,1.099792415,1.15734081,1.135442465,1.118685993,1.068928644,1.076957558,1.049391733,1.121208631,1.032713782,1.021115234,1.010125588,0.957632548,0.976230558,1.107293085,1.067590534,0.990267426,1.186823887,1.097730675
Subject10_2.edf,1.092939825,1.096217131,1.07402085,1.085577262,1.089597485,1.088287273,1.067087334,1.055101636,1.044416631,1.046229487,1.072559222,1.044611756,1.010977223,0.999434099,0.999714641,0.991828729,1.061326373,1.059435012,1.004932012,1.080639455,1.050268016
Subject02_2.edf,1.178303182,1.150623355,1.132832729,1.139626077,1.181511018,1.158640323,1.167832573,1.149254349,1.116513288,1.104102046,1.175537109,1.172669703,1.098345309,1.085957266,1.116505836,1.068158029,1.111466383,1.103099499,1.090601742,1.161026792,1.167415202
Subject18_2.edf,1.11095828,1.109643138,1.091484234,1.08645561,1.127529806,1.083455695,1.107018804,1.092593291,1.053213147,1.101481507,1.15195771,1.138040643,1.097551144,1.112765215,1.121288857,1.126121939,1.099426472,1.100313211,1.108347009,1.145307233,1.123827356
Subject16_2.edf,1.151840471,1.157763208,1.15120541,1.158908929,1.182815015,1.165257977,1.180374884,1.19837575,1.142323843,1.140397229,1.141932287,1.191994294,1.11206046,1.115762276,1.086947335,1.080144555,1.137310877,1.128468441,1.104570908,1.174302282,1.084449998
Subject19_2.edf,1.14455762,1.164038052,1.107473033,1.134655479,1.121620809,1.192190864,1.111993927,1.20139111,1.102627197,1.132495671,1.11241419,1.101096633,1.077276275,1.089139908,1.096812354,1.113982764,1.110188443,1.102392774,1.092659295,1.16684572,1.129483755
Subject17_2.edf,1.101545795,1.136872491,1.089194685,1.074409529,1.106391605,1.099243011,1.109914976,1.081443994,1.080579292,1.092733766,1.132835718,1.043502462,1.084574727,1.067250921,1.057239894,1.063161219,1.074057932,1.080468241,1.079528696,1.155280786,1.00576453
Subject21_2.edf,1.062767758,1.07045577,1.036374717,1.05909878,1.044957676,1.07584211,1.037076747,1.040499853,1.042799211,1.044601771,1.036584531,1.052628327,1.035939937,1.049035485,1.009402259,1.017297135,1.05334174,1.04487947,1.052580185,1.055860966,1.026576094
Subject23_2.edf,1.019020875,1.098740376,1.018209403,1.024637874,1.019277389,1.061222333,1.022741593,1.090754481,1.024328938,1.023406012,1.022014772,1.060414879,1.00623244,1.007172805,0.961581057,0.96097895,1.014474841,1.02177708,1.007347994,1.071246276,1.072906318
Subject26_2.edf,1.077149714,1.065436125,1.053612369,1.06531142,1.072032444,1.064863029,1.053461443,1.057981207,1.047060583,1.041028324,1.047710053,1.050178209,1.022202248,1.036172305,0.989626216,0.988048119,1.050481951,1.044351285,1.040453083,1.122304704,0.978536166
Subject22_2.edf,1.07479234,1.068191267,1.041706109,1.026577839,1.063147185,1.065573849,1.065927909,1.099061476,1.048153812,1.043407178,1.079870648,1.045885791,1.052569736,1.043113161,1.040681933,1.028600228,1.040289386,1.043538119,1.042182078,1.087683073,1.028890591
Subject25_2.edf,1.042648549,1.022285553,1.015863498,1.009539582,1.080984534,1.064510106,1.021043063,1.062028385,0.976949788,0.966095863,0.986838079,1.006048533,0.934556463,0.93084566,0.965784794,0.942906363,0.999695526,0.97107332,0.941681415,1.094492218,1.026576751
Subject24_2.edf,1.151330006,1.156419142,1.134072966,1.130512181,1.144056114,1.143144997,1.136396397,1.157034357,1.126737168,1.122950061,1.140813425,1.129354733,1.094887533,1.050352912,1.115815016,1.032043773,1.13427748,1.127781488,1.077646041,1.213472686,1.061378839
Subject32_2.edf,1.118584839,1.087906274,1.073788326,1.067936581,1.114046436,1.127535879,1.097704549,1.075023559,1.068942619,1.059612027,1.115172871,1.02984345,1.096602132,1.0569656,1.16552244,1.141614933,1.061134536,1.053737,1.077611093,1.115667059,1.047766818
Subject30_2.edf,1.083571357,1.093467666,1.077613581,1.073457399,1.081799807,1.083100386,1.074692391,1.077495638,1.039285872,1.078317826,1.099806857,1.108791718,1.037500947,1.037970539,1.059791782,1.032562308,1.077222199,1.066989082,1.041757531,1.135540537,1.043154562
Subject33_2.edf,1.070067439,1.092467344,1.059870663,1.057414338,1.088293928,1.085585853,1.08288716,1.068184442,1.058718463,1.059182337,1.09188254,1.047550393,1.055646261,1.040567191,1.035214031,1.033585219,1.058008764,1.066625497,1.051859276,1.076218246,1.122567171
Subject27_2.edf,1.152803013,1.18015571,1.104030769,1.124118954,1.140489542,1.173503035,1.110789027,1.136021681,1.109326129,1.113565752,1.141316349,1.130576082,1.106510432,1.11967917,1.101320226,1.102395069,1.090110862,1.102334911,1.107877945,1.166155097,1.163401272
Subject28_2.edf,1.091682103,1.094730247,1.056162273,1.064388497,1.1248815,1.085180916,1.074354273,1.06334297,1.052373026,1.049911496,1.06269348,1.075176366,1.04884025,1.044186411,1.045003659,1.019789095,1.068212137,1.054521844,1.049285187,1.148449312,1.12698757
Subject29_2.edf,1.123180353,1.128163546,1.048905713,1.059357687,1.104920753,1.102787311,1.067469325,1.048908216,1.036481603,1.021800198,1.043145969,0.995176094,0.994235499,0.98684549,0.96224909,0.953350772,1.050369905,1.022479159,0.978865636,1.148354308,1.122016226
Subject07_2.edf,1.141060645,1.163257011,1.145711063,1.149119015,1.149295746,1.198752785,1.134387439,1.169059034,1.119723643,1.110452181,1.149216751,1.127602171,1.089555259,1.092902137,1.095554672,1.096756808,1.11398873,1.099842508,1.082617289,1.178538703,1.16314519
Subject34_2.edf,1.102779688,1.110495519,1.059914001,1.066553969,1.079095531,1.088520316,1.039243722,1.066003224,1.063455615,1.060223969,1.054075979,1.082421201,1.05728004,1.074669942,1.093051913,1.14608836,1.064722461,1.075579729,1.063818704,1.094790858,1.040100686
Subject08_2.edf,1.076295547,1.07913765,1.058826436,1.065259658,1.071819724,1.079855785,1.080504678,1.072226602,1.063041909,1.054263608,1.074653281,1.06987517,1.053686565,1.038895469,1.042332824,1.034853835,1.054926567,1.054278253,1.046651952,1.044352143,0.944081753
Subject04_2.edf,1.052879235,1.044429831,1.03696378,1.031624989,1.063075474,1.043000032,1.042841593,1.046698607,1.029882107,1.036977702,1.050256211,1.024830024,1.016020191,1.022145553,1.02339631,1.02433626,1.026877356,1.032006823,1.023239545,1.087636923,1.091641249
Subject06_2.edf,1.142636212,1.151833847,1.146172489,1.123761476,1.148890937,1.136259719,1.157056396,1.150883089,1.140779087,1.146040093,1.19716051,1.137833706,1.164128808,1.159800436,1.18265569,1.153752063,1.129954182,1.141524052,1.155216971,1.16141896,1.139649592
Subject09_2.edf,1.14371408,1.136118508,1.093713602,1.085799825,1.105186236,1.112441053,1.123926369,1.106393663,1.082051297,1.080954486,1.125932603,1.107962363,1.081599804,1.076208279,1.090737063,1.083095465,1.076988053,1.082226599,1.076125386,1.123183129,1.074303455
Subject01_2.edf,1.128187848,1.116252944,1.089691514,1.084624143,1.107862949,1.10445713,1.133324201,1.095336933,1.079864057,1.080643513,1.083503913,1.09750411,1.076667053,1.078931109,1.090280472,1.08148045,1.075876504,1.077827737,1.091767481,1.166910013,1.193448832
Subject35_2.edf,1.258832061,1.265965131,1.292049718,1.276629213,1.282517592,1.307404182,1.307293615,1.300161898,1.308635122,1.303329918,1.302375876,1.277109976,1.304545983,1.31547809,1.289921213,1.287086358,1.256549807,1.286352578,1.313422401,1.583418506,1.182229048
Subject05_2.edf,1.134052245,1.113903616,1.075141463,1.080846204,1.106798025,1.105844029,1.088310716,1.091006266,1.077871025,1.070069819,1.1252542,1.057309004,1.049465024,1.045247833,0.988491324,0.978451258,1.090577991,1.08690885,1.048400378,1.148968196,0.955629291
Subject20_2.edf,1.148581469,1.123888338,1.070057867,1.068313855,1.148245777,1.126237223,1.024287417,1.087139391,1.06431113,1.06252301,1.04486885,1.080848028,1.057440208,1.060804537,1.054236194,1.056959738,1.040759007,1.061027217,1.082930524,1.162677022,1.072600589
Subject03_2.edf,1.080994522,1.08870816,1.039943829,1.032773316,1.05331518,1.055287108,1.052034758,1.048598621,1.024407625,1.016903801,1.057220781,1.018492309,1.029010435,1.031184955,1.008886928,1.019122595,1.042121314,1.032214212,0.994494332,1.058825512,1.127942933
Subject15_2.edf,1.063844575,1.070325871,1.031958872,1.039282507,1.088532121,1.076417595,1.057349046,1.064159937,1.05010204,1.049167839,1.051974608,1.030495052,1.008974451,1.020215925,1.024489086,1.007289469,1.037605625,1.038486717,1.021223299,1.134800831,1.078076671
Subject14_2.edf,1.129066987,1.102874345,1.071998385,1.067683171,1.092031457,1.093006033,1.088963743,1.058508063,1.078945087,1.087391947,1.1010894,1.061311749,1.062873504,1.049252124,1.072465411,1.077459374,1.076314331,1.091429224,1.074151073,1.174994738,1.182004389
Subject00_2.edf,1.065236678,1.064665915,1.039770905,1.03460628,1.071606082,1.080502244,1.051704128,1.038385809,1.042068313,1.034294481,1.049154386,1.029635305,1.044696536,1.03226605,1.027066962,1.005907748,1.030206263,1.037987689,1.049676118,1.093363631,1.034448288
Subject13_2.edf,1.077835594,1.064259847,1.059979806,1.058379405,1.060072508,1.066504957,1.067631932,1.062898196,1.057638107,1.056616341,1.08580969,1.067631428,1.067629243,1.055909524,1.069854842,1.078710794,1.056012618,1.052079151,1.057078892,1.102253661,1.134388209
Subject31_2.edf,1.156089575,1.109433198,1.127796929,1.105371522,1.158050015,1.131015461,1.131618522,1.108091081,1.084528749,1.084648706,1.120295908,1.135341067,1.093613865,1.091479996,1.106311311,1.082356263,1.095375387,1.089629899,1.101040486,1.192313986,1.111083541
