,EEG Fp1_Alpha_Beta,EEG Fp1_Theta_Alpha,EEG Fp2_Alpha_Beta,EEG Fp2_Theta_Alpha,EEG F3_Alpha_Beta,EEG F3_Theta_Alpha,EEG F4_Alpha_Beta,EEG F4_Theta_Alpha,EEG F7_Alpha_Beta,EEG F7_Theta_Alpha,EEG F8_Alpha_Beta,EEG F8_Theta_Alpha,EEG T3_Alpha_Beta,EEG T3_Theta_Alpha,EEG T4_Alpha_Beta,EEG T4_Theta_Alpha,EEG C3_Alpha_Beta,EEG C3_Theta_Alpha,EEG C4_Alpha_Beta,EEG C4_Theta_Alpha,EEG T5_Alpha_Beta,EEG T5_Theta_Alpha,EEG T6_Alpha_Beta,EEG T6_Theta_Alpha,EEG P3_Alpha_Beta,EEG P3_Theta_Alpha,EEG P4_Alpha_Beta,EEG P4_Theta_Alpha,EEG O1_Alpha_Beta,EEG O1_Theta_Alpha,EEG O2_Alpha_Beta,EEG O2_Theta_Alpha,EEG Fz_Alpha_Beta,EEG Fz_Theta_Alpha,EEG Cz_Alpha_Beta,EEG Cz_Theta_Alpha,EEG Pz_Alpha_Beta,EEG Pz_Theta_Alpha,EEG A2-A1_Alpha_Beta,EEG A2-A1_Theta_Alpha,ECG ECG_Alpha_Beta,ECG ECG_Theta_Alpha
Subject25_2,2.138774427,1.602884592,2.144988378,1.910674334,3.313152986,0.89833162,3.358573444,0.920351159,1.603095466,1.232934405,1.886943508,1.245905387,3.79134411,0.420013871,2.746584389,0.58663246,4.845745725,0.480346617,5.640343336,0.592689663,4.851044259,0.310956332,3.996769011,0.390139432,7.140484697,0.162630174,7.121434475,0.208116353,4.811329517,0.202561005,5.637287259,0.250255245,3.582774685,0.913179889,5.532511359,0.568660474,5.944259839,0.197984063,0.642695191,1.653208983,0.365299324,0.865861747
Subject24_2,0.694859888,1.513688509,0.694314118,1.401493103,0.756014363,1.276958172,0.762096136,1.586276911,0.723745384,1.317415344,0.614744808,1.735550771,0.732106739,1.003550697,0.759229575,1.336805068,0.866853711,1.093589616,0.890786698,1.09250743,0.784261798,0.629923308,1.258661947,0.583793725,1.505811675,0.303168494,1.851909556,0.205525393,1.828451954,0.157191391,2.355852625,0.104634234,0.763502939,1.683907476,0.836237483,1.184027322,1.642008522,0.236495146,0.532924686,1.16435114,0.87003487,1.692349656
Subject32_2,2.364881458,0.8758516,1.77521284,1.645042364,2.228998616,1.090768347,2.326208856,1.065648723,1.790390776,1.027362493,1.495229038,1.192092837,2.425804538,0.867464029,2.506208807,0.914299161,2.730509798,0.974521692,2.833411926,1.041390133,1.751458484,0.795739809,5.053069071,0.558600301,2.514439556,0.818274422,2.960686985,0.867068394,1.515523234,0.743215496,2.544382665,0.695457575,2.422149091,1.107017028,2.619839886,1.235702672,2.675842818,0.952411832,1.502352854,0.756080286,0.396619055,1.047387092
Subject30_2,1.452719601,1.255918456,1.383356578,1.113501302,1.514458533,0.865302689,1.316924371,0.967036903,1.528639211,1.037047635,1.365014556,1.027918011,1.535793382,0.582995468,1.892821743,0.584480998,2.305461194,0.475114953,1.628390523,0.910798983,2.428093488,0.435332063,1.693062125,0.338746916,2.738917645,0.495648965,3.031404611,0.368878318,3.58156837,0.285740782,4.320281813,0.329063456,1.314135726,1.086423113,2.055742956,0.556404137,3.176547732,0.408812687,1.633690398,0.589065741,0.343658721,1.699662199
Subject33_2,1.02309369,2.041027919,0.918542056,1.727771665,0.999049892,2.005533859,1.06886227,1.716086996,0.997212795,1.52217648,0.796980551,1.851829552,0.983660077,1.315040499,1.393150806,0.796058901,1.150151727,1.310939494,1.349061654,1.053909291,0.840321483,1.353071227,1.604996698,0.472899592,1.216213316,0.953735761,1.909224249,0.579301244,1.966583336,0.475372074,2.131355401,0.406819204,0.988469025,1.822992201,1.026683261,1.558358607,1.572731007,0.799993373,0.785750944,2.562505915,0.588332952,0.40851748
Subject27_2,0.859339117,2.998694021,0.639760851,2.925580202,1.161610016,3.813619198,1.028426982,3.198201232,0.751597026,2.153863603,0.632333968,1.734606062,0.886579497,1.563989826,0.685586501,1.28873111,1.037072608,2.413412671,1.013260854,2.358360358,0.742276114,1.645269314,0.861940607,1.192114287,0.825498715,1.957059212,0.939586839,1.642323802,1.182408479,0.853340644,1.692005629,0.629354314,1.143831249,4.812954216,1.075884422,2.517814304,0.913453075,1.945927385,0.665454611,2.020812866,0.758723099,1.473847826
Subject28_2,0.967763396,0.972442757,0.742025741,0.897665102,0.91119909,1.362932211,0.70465823,1.592935758,0.872362261,0.834068684,0.825225853,2.25314125,0.705022943,0.977734796,0.63016384,0.917622247,0.954900402,1.003276054,0.858663935,1.023090306,0.758245595,0.760700479,0.750513658,0.837154184,0.766947814,0.934135955,0.809284322,0.883962481,0.737266209,0.619578341,1.303052033,0.531134963,0.870579649,1.513145045,1.002187824,1.081105283,0.868262097,0.934538558,0.955622974,0.943725763,0.499349402,1.318322531
Subject29_2,1.888470176,0.365812013,1.826143585,0.36571478,2.282771991,0.3476703,1.977609811,0.364543245,1.936609889,0.404783165,1.612335964,0.404113631,1.673443896,1.591860251,1.928250666,0.349982169,2.076789277,0.354900168,2.197727845,0.337717962,1.360468363,0.413780641,2.365425755,0.190937088,2.742383404,0.195345912,3.694390538,0.17452078,3.737107425,0.110792825,4.903788945,0.089938364,2.176800344,0.355058775,2.299782497,0.347543057,4.286724925,0.144290069,0.960741825,0.83569343,0.338173282,1.624103344
Subject07_2,0.81499706,3.033492714,0.700126772,2.353322746,0.825973,2.668613862,0.885880122,2.165908121,0.689184375,3.330478093,0.550862195,1.947429232,0.942859727,1.984784932,1.180679471,1.089651415,0.934668806,2.29904502,1.684949461,1.532226731,1.064696887,0.844541445,1.501274648,0.99424304,1.995681681,1.211085898,2.32569485,1.154946455,1.604726805,1.347224517,2.149676425,0.981108315,1.025717262,2.476331813,1.461732492,2.156136858,2.768817954,1.149222046,0.717044779,1.253269494,0.575589745,0.903462804
Subject34_2,0.895775038,0.957572365,0.84731411,0.93988958,0.91859768,1.163691369,0.996844012,0.816341062,0.811860636,0.717575788,0.852250309,1.193576586,2.446368988,0.282930498,1.117012457,0.486731176,1.302245614,0.656275576,1.119666525,0.434493706,1.703811536,0.719938939,1.017892732,0.774424055,1.428120464,0.453769127,1.03804939,0.581885311,1.462822744,0.413316376,0.935515709,0.490722945,1.154650926,0.800012257,0.85990136,0.912864489,1.302098054,0.615826698,0.938253777,0.548264364,0.480810934,1.687773632
Subject08_2,1.335716454,1.531142598,1.238423047,1.491287483,1.457195892,1.494206568,1.23189801,1.483790801,1.219985784,1.512260194,1.070775037,1.316389556,1.390187402,0.970807475,1.084057183,0.805906663,1.437653036,1.202887947,1.160072671,1.087526398,1.332924375,0.884398446,1.189133748,0.700143721,1.111375264,0.804446296,0.92531343,0.682764067,1.201138381,0.580461929,1.278723877,0.477754024,1.526887638,1.586245908,1.392059072,1.391656585,1.023641486,0.781308286,0.982188199,0.990356045,0.595822009,1.460119409
Subject04_2,0.710541896,1.778391178,0.573449972,2.304355694,0.56423137,2.299776576,0.519021645,2.38695503,0.750349105,1.882277253,0.56672622,2.269211117,0.889188389,1.152965274,0.741694351,1.318021052,1.003779916,0.852932757,0.759837837,1.388005816,0.7079383,1.116725519,1.151421418,0.718671933,1.150041549,0.921725245,1.246808599,0.639140627,0.894474557,0.640622549,1.076015847,0.529492872,0.51814808,2.771667625,0.678647894,1.526395818,1.003368515,0.676227927,0.700902358,1.899359388,0.596470377,1.010633048
Subject06_2,0.805255492,1.605372123,0.638317195,1.666170468,0.660923023,1.280798555,0.81653106,1.638595408,0.582782704,1.725789773,0.669258538,1.619188452,0.592066584,1.228303632,1.015010519,0.829197504,0.776727867,1.369143279,0.961349096,1.206563308,0.395609967,1.197772596,1.206039866,0.656514959,0.623441696,1.244647993,1.20841459,0.725690718,0.568580923,0.941224452,1.337720594,0.486906388,0.847086403,1.741122616,0.922475918,1.452044685,0.965153386,0.889026585,0.600051802,0.880620275,0.329347794,1.845582639
Subject09_2,1.08366275,1.892285291,1.339591253,1.257029084,1.652943616,2.130364349,1.809405921,1.834241642,1.628606778,1.461192748,1.210660424,1.500222031,1.321289974,1.780369661,1.62561705,1.258425012,1.925109268,1.874464572,2.368936408,1.55118969,1.606827129,1.176562702,1.614488558,0.653926283,1.098064649,1.084923792,2.636711388,0.963612632,2.392823441,0.819243465,2.576679006,0.537654263,1.902274207,2.076855908,2.539121278,1.665032476,2.795178516,0.956800121,0.953683842,1.780157985,0.431281347,0.932211555
Subject01_2,1.01177308,2.652915997,0.973135039,2.432319738,0.976835557,2.136372317,0.761657985,2.078294049,0.812259771,2.134432608,0.78140796,2.19972543,0.513031951,1.351664083,0.610570987,1.137434042,0.72205097,1.434204902,0.642228869,1.274148663,0.671320303,1.268049847,0.893700762,0.486554876,0.809144155,1.038284211,0.811496237,0.756506796,0.780256729,0.727913973,1.22391967,0.829246525,0.864102531,2.930793172,0.769779843,1.415024459,0.610042356,1.047937735,1.018068893,1.086512605,0.631232497,1.735364374
Subject35_2,0.408879191,3.36515483,0.426908059,4.411358267,0.503382856,3.380499923,0.542683457,3.625350952,0.554184332,2.511344635,0.443340522,2.503043164,0.505854865,2.153613674,0.451951573,2.001895123,0.554758308,2.743488761,0.557354747,2.687282377,0.426864839,2.076330411,0.416932995,1.815455992,0.529391958,2.079091538,0.595565799,1.751929702,0.579110645,1.388333433,0.612910447,1.404110814,0.620086391,4.505182833,0.603309076,3.052555554,0.583387929,1.987856663,0.460183439,1.712702053,0.557777168,2.494062803
Subject05_2,1.110840863,1.648554374,1.238154808,1.483345449,1.823126715,1.222612848,1.72232735,1.058599385,1.265132239,1.603124386,1.765679912,1.044708301,1.709982062,1.028191621,1.862993789,0.70337779,1.8505298,0.944098072,2.134640498,0.709544256,1.572835833,0.805690066,3.994158518,0.364076151,3.686377619,0.321426537,5.846099049,0.2071805,10.16957667,0.130140518,11.91882988,0.108836376,1.680847899,1.270153814,1.815643094,1.077853411,4.676810185,0.306926778,0.682104526,1.003436729,0.368728075,1.292264872
Subject20_2,0.61227773,1.775917421,0.659064572,2.209724685,1.135914137,0.957782759,0.625063423,1.079946328,0.608781782,1.712233012,0.685517228,1.599326981,2.122033219,2.266198829,0.782332817,1.14402969,0.731973401,1.425058166,0.574054563,1.682290492,1.403640775,1.273520889,0.523756776,1.067158719,0.647174873,1.053232574,0.640984616,1.22429945,0.529962535,1.011888779,0.61897699,1.026979192,0.833201704,0.759065202,0.578298734,1.826780081,0.56765556,1.098284136,0.782681855,2.022640988,0.715314977,1.179733931
Subject03_2,1.036405217,1.123338573,1.281019507,0.901871585,1.905551653,0.947022482,1.464204175,0.983603296,1.542733022,0.749629506,1.561948322,0.935941245,1.869352984,0.806026694,1.93928985,0.8386001,3.280982724,0.85226325,3.073722522,0.956001517,1.650170253,0.974483769,3.225420775,0.829525192,2.156341498,0.736998572,2.498913517,0.525140007,2.660139211,0.835319769,1.807629115,0.49185986,1.921389998,0.922264536,2.547705575,0.659645992,4.617055412,0.636726008,1.75199899,0.727487046,0.670983544,1.274887645
Subject15_2,1.480400938,0.717268046,1.21677946,0.986735871,0.951738337,0.853794467,1.444121443,0.872772028,0.928015349,1.448749106,1.183408256,0.873143525,1.317159684,0.678359853,1.183911306,1.008947694,1.535018003,0.736609306,1.533428298,0.710656782,1.335927674,0.628149618,1.67316657,0.385896827,1.873429708,0.367131775,2.999204204,0.160984365,3.862908113,0.119664781,3.489923952,0.123988547,1.48347426,0.826814559,1.436537444,0.772046447,3.070138921,0.188590706,0.728027113,0.990946273,0.414130294,1.288600516
Subject14_2,0.465089375,2.227630747,0.642341829,2.121812246,1.022215264,1.74244474,1.293166608,1.512657981,0.633816147,3.199061977,0.65763103,2.120390281,0.55888874,1.720825439,1.004875014,1.189202844,0.541176602,1.886884731,0.570453958,2.110283123,0.652049645,1.087565294,1.072122472,0.60926801,0.663575583,0.852869198,0.849218618,0.896102182,0.991312047,0.396889085,1.051635134,0.393231985,0.855155292,2.428258144,0.568299845,2.382713563,0.598114707,1.194572338,0.56778278,1.776946275,0.310386914,1.278496286
Subject00_2,1.630039297,0.425906116,1.994269879,0.300882244,1.986582313,0.337055497,2.099106565,0.330835054,1.450438531,0.401918739,1.56209658,0.356640924,1.234100618,0.41411092,1.389629109,0.364942699,1.738121125,0.449936898,1.771579623,0.391773826,1.01655883,0.526539108,1.441069302,0.248109732,1.348957753,0.37825192,1.476133369,0.324229637,2.554585177,0.188061766,3.733818869,0.125364403,2.132902942,0.332388551,1.922969691,0.531306912,1.257219967,0.523821382,1.261972873,0.844530811,0.968822005,1.053526846
Subject13_2,0.755482912,3.101435272,0.818912937,2.8546277,0.891310282,2.880379882,0.844425373,2.786648251,0.988252225,2.213916445,0.824372384,2.331073033,0.866359488,2.403571214,0.92855581,1.991385457,1.096579937,2.65015008,1.122675818,2.094656618,0.693001208,2.022219149,0.847156055,1.894983923,0.907993055,2.292746757,1.099296478,1.850081773,1.048258513,2.460572865,1.004452092,1.712290632,0.951599944,3.067276683,1.205740325,2.383996739,1.055699715,2.14810687,0.889221773,1.622648332,0.601715033,1.319865826
Subject31_2,1.30169853,1.391738708,1.870516511,0.854429861,2.061034131,0.713369259,1.934994086,0.761634307,1.482995277,0.78184085,1.442275472,0.895459715,2.386322536,0.548288343,1.355245951,0.615746247,2.519490836,0.616026868,2.034265628,0.7063692,1.245751319,0.740835815,1.118756914,0.702481064,1.783440395,0.644739549,1.742505016,0.589851755,2.936896175,0.33693133,3.533347643,0.282503659,2.273068007,0.76804162,2.449216134,0.660359952,1.796691998,0.629516287,0.483383855,1.139228282,0.762287639,2.115097301
