,EEG Fp1_Delta,EEG Fp1_Theta,EEG Fp1_Alpha,EEG Fp1_Beta,EEG Fp1_Gamma,EEG Fp2_Delta,EEG Fp2_Theta,EEG Fp2_Alpha,EEG Fp2_Beta,EEG Fp2_Gamma,EEG F3_Delta,EEG F3_Theta,EEG F3_Alpha,EEG F3_Beta,EEG F3_Gamma,EEG F4_Delta,EEG F4_Theta,EEG F4_Alpha,EEG F4_Beta,EEG F4_Gamma,EEG F7_Delta,EEG F7_Theta,EEG F7_Alpha,EEG F7_Beta,EEG F7_Gamma,EEG F8_Delta,EEG F8_Theta,EEG F8_Alpha,EEG F8_Beta,EEG F8_Gamma,EEG T3_Delta,EEG T3_Theta,EEG T3_Alpha,EEG T3_Beta,EEG T3_Gamma,EEG T4_Delta,EEG T4_Theta,EEG T4_Alpha,EEG T4_Beta,EEG T4_Gamma,EEG C3_Delta,EEG C3_Theta,EEG C3_Alpha,EEG C3_Beta,EEG C3_Gamma,EEG C4_Delta,EEG C4_Theta,EEG C4_Alpha,EEG C4_Beta,EEG C4_Gamma,EEG T5_Delta,EEG T5_Theta,EEG T5_Alpha,EEG T5_Beta,EEG T5_Gamma,EEG T6_Delta,EEG T6_Theta,EEG T6_Alpha,EEG T6_Beta,EEG T6_Gamma,EEG P3_Delta,EEG P3_Theta,EEG P3_Alpha,EEG P3_Beta,EEG P3_Gamma,EEG P4_Delta,EEG P4_Theta,EEG P4_Alpha,EEG P4_Beta,EEG P4_Gamma,EEG O1_Delta,EEG O1_Theta,EEG O1_Alpha,EEG O1_Beta,EEG O1_Gamma,EEG O2_Delta,EEG O2_Theta,EEG O2_Alpha,EEG O2_Beta,EEG O2_Gamma,EEG Fz_Delta,EEG Fz_Theta,EEG Fz_Alpha,EEG Fz_Beta,EEG Fz_Gamma,EEG Cz_Delta,EEG Cz_Theta,EEG Cz_Alpha,EEG Cz_Beta,EEG Cz_Gamma,EEG Pz_Delta,EEG Pz_Theta,EEG Pz_Alpha,EEG Pz_Beta,EEG Pz_Gamma,EEG A2-A1_Delta,EEG A2-A1_Theta,EEG A2-A1_Alpha,EEG A2-A1_Beta,EEG A2-A1_Gamma,ECG ECG_Delta,ECG ECG_Theta,ECG ECG_Alpha,ECG ECG_Beta,ECG ECG_Gamma
Subject19_1,0.122279156,0.187033453,0.45049685,0.19833415,0.021158881,0.154414436,0.160876482,0.453487956,0.182365587,0.02305273,0.160483728,0.172006095,0.423124011,0.206945212,0.014900517,0.186542665,0.175863498,0.395686497,0.197014146,0.016608264,0.153833505,0.177772232,0.410114773,0.209871599,0.021981922,0.098358588,0.173532092,0.494077844,0.19363836,0.020917553,0.175770594,0.164691771,0.44969818,0.171789405,0.012779723,0.22356855,0.203813216,0.333709374,0.18701132,0.024034835,0.156296114,0.143309466,0.485235116,0.183189464,0.01015077,0.158562452,0.1446575,0.461405945,0.199620444,0.012545951,0.200565461,0.165797258,0.440352725,0.152181492,0.011948846,0.152264711,0.134444356,0.575823204,0.10541121,0.008707258,0.086899442,0.121184105,0.659285955,0.113818279,0.005716985,0.124316136,0.114132017,0.627304824,0.112125314,0.005752432,0.070583928,0.097734441,0.715429497,0.096785379,0.00723486,0.10197244,0.107448011,0.663160614,0.101022138,0.008181234,0.195650113,0.185492245,0.38803472,0.190913056,0.014351885,0.177384766,0.153659046,0.390127729,0.238949756,0.014505019,0.111815756,0.106684317,0.644423438,0.116214803,0.005251484,0.131554468,0.167395263,0.357071843,0.25730235,0.048095123,0.423423726,0.156674204,0.086619918,0.271938373,0.017130019
Subject25_1,0.697510398,0.094604455,0.066880853,0.029126753,0.004326859,0.696339077,0.09927502,0.065065198,0.027381527,0.003212252,0.309761791,0.29902192,0.264057455,0.077694647,0.007876581,0.307905692,0.302951995,0.259027155,0.079547805,0.006783531,0.458022607,0.201733042,0.157560766,0.089846771,0.020136335,0.493087063,0.19140081,0.151334366,0.075689289,0.011283266,0.193309114,0.242755392,0.430164324,0.098752636,0.008817039,0.388235755,0.213832116,0.245002908,0.086753341,0.011108279,0.151882404,0.289063936,0.452888158,0.082968095,0.004905645,0.276788034,0.294016825,0.328709518,0.064223889,0.00408403,0.195303844,0.22354831,0.456494047,0.093303791,0.007790758,0.205928308,0.263543843,0.395606682,0.098837464,0.00767676,0.126285674,0.198208035,0.588222807,0.06952356,0.002745631,0.12589096,0.222013456,0.555302429,0.079510645,0.002728669,0.170289294,0.208543109,0.488495203,0.108517975,0.004670883,0.157358833,0.213211035,0.507195929,0.100476198,0.003636969,0.305199009,0.30917225,0.26580817,0.072903283,0.006087491,0.156987382,0.357355026,0.397293839,0.06523585,0.004790755,0.128783961,0.223501558,0.558677686,0.071285021,0.002676753,0.224662068,0.317025251,0.170079971,0.215909111,0.033440899,0.246319902,0.146523483,0.140291836,0.407606146,0.034734204
Subject26_1,0.531846521,0.165034274,0.124935068,0.103099493,0.014732148,0.491475384,0.173192602,0.138873091,0.118453715,0.015767322,0.449040315,0.217509507,0.177329414,0.098865807,0.009321997,0.446361785,0.21828559,0.174827844,0.104952687,0.011054997,0.484282207,0.201274121,0.128336764,0.105294255,0.015064272,0.478957253,0.190617748,0.159400585,0.100484173,0.011842024,0.402561227,0.21094593,0.22851104,0.10360715,0.012426239,0.428818419,0.2168533,0.194966769,0.104440977,0.010143564,0.439011297,0.210733752,0.208435309,0.089030262,0.009034883,0.44023676,0.227414189,0.195674231,0.085530516,0.00878289,0.389166876,0.215514376,0.262472586,0.085471047,0.008786011,0.372452633,0.230203783,0.242171466,0.106070676,0.008570005,0.258978545,0.218669373,0.413421862,0.073552429,0.005814937,0.322189997,0.203754753,0.354206767,0.076216329,0.006138845,0.180010715,0.218949535,0.516389513,0.058315577,0.003861826,0.179227285,0.219549525,0.512210633,0.062651914,0.004035184,0.468711121,0.215230505,0.166013946,0.093303124,0.009093927,0.427116961,0.218286211,0.213547441,0.091062491,0.008644321,0.300307028,0.210233747,0.376572381,0.076265958,0.006958659,0.479137443,0.190509531,0.100565713,0.15524562,0.017260768,0.444345841,0.1547892,0.073487497,0.256912496,0.017176005
Subject24_1,0.404488116,0.160053507,0.185614428,0.163116331,0.020785013,0.363269254,0.18612256,0.199150494,0.178250988,0.021991614,0.212785346,0.21136823,0.28396464,0.239181888,0.02040653,0.323625224,0.215031764,0.221423401,0.187499605,0.016031028,0.45735837,0.139664454,0.155811496,0.154218797,0.018416522,0.460937528,0.16496087,0.147574864,0.149715142,0.017075125,0.388493425,0.175689573,0.185485913,0.185226228,0.017020528,0.444121041,0.167021493,0.166941397,0.149808146,0.015327804,0.326488124,0.194094007,0.244546067,0.182391207,0.013292934,0.34780723,0.189900403,0.238416408,0.174154852,0.012715984,0.358981123,0.164559642,0.207642359,0.203300152,0.017479786,0.248470574,0.137513876,0.346078902,0.216481395,0.018371944,0.243875932,0.137027099,0.399019208,0.179741497,0.008992223,0.200846292,0.095024418,0.484185217,0.187505363,0.00809329,0.193607876,0.096691593,0.501992296,0.173396274,0.008268521,0.160432683,0.070764229,0.567504798,0.171494533,0.006840724,0.229708051,0.235478738,0.269079031,0.216151828,0.020042932,0.337847595,0.199850798,0.239955575,0.172265754,0.012880399,0.213104967,0.106292027,0.467752933,0.178097788,0.007526793,0.41624571,0.173088252,0.129438557,0.166601976,0.03904403,0.515317269,0.180879768,0.108792253,0.124766494,0.001270766
Subject20_1,0.259894277,0.188397103,0.214040635,0.274132403,0.027070106,0.30425351,0.164203012,0.187721761,0.254018598,0.043920754,0.189913035,0.164349022,0.268700705,0.324520119,0.025488534,0.179951732,0.138818287,0.266025465,0.355161338,0.034064354,0.094927385,0.193369786,0.285636945,0.35030192,0.052533312,0.185308241,0.169416516,0.224756168,0.328047275,0.060038844,0.439684387,0.283954428,0.151289854,0.095798337,0.005875465,0.296269789,0.159124896,0.248688755,0.243269224,0.015362612,0.218088398,0.151785978,0.286276285,0.294869915,0.018832709,0.355094801,0.169867633,0.212810695,0.210371005,0.010093008,0.151111514,0.222561665,0.339216252,0.250923122,0.012917054,0.286018341,0.129377567,0.290444631,0.246925222,0.00974485,0.207787963,0.155323699,0.327088669,0.270502109,0.010710957,0.258155847,0.115524825,0.353481358,0.231533778,0.007427934,0.214326108,0.102695059,0.383582085,0.261715966,0.007322831,0.268153733,0.089033904,0.377528274,0.220147237,0.006549504,0.354888079,0.158188141,0.203511275,0.22393209,0.017111072,0.325948467,0.168234017,0.241561724,0.216637506,0.00951666,0.24954865,0.118129601,0.344731544,0.241381982,0.012366795,0.281927087,0.186282977,0.208092927,0.227329327,0.04508706,0.341689692,0.131642562,0.144001222,0.321464341,0.025765598
Subject21_1,0.374388694,0.274597799,0.164178814,0.128254984,0.011176022,0.586832211,0.120833586,0.103479129,0.125073036,0.013024057,0.353691001,0.201358536,0.220734272,0.173524018,0.010350495,0.325336854,0.257930902,0.20442772,0.170437014,0.010057319,0.395371097,0.18344253,0.178725414,0.178151004,0.016188506,0.402963784,0.184783281,0.178581109,0.165186195,0.016578277,0.34844656,0.19790258,0.225676037,0.175331963,0.012106399,0.370382293,0.243706373,0.171167066,0.165783673,0.009313135,0.358956047,0.207367636,0.223740766,0.162864555,0.010334757,0.34821584,0.240228554,0.206987018,0.15927383,0.010091838,0.317570267,0.198738781,0.240853598,0.189422753,0.015559905,0.316550962,0.167829026,0.253910764,0.208230961,0.013434201,0.310247558,0.18973973,0.276465513,0.177910533,0.009928772,0.344826917,0.174692422,0.257118895,0.176945988,0.010683388,0.245250691,0.144316736,0.37084522,0.201179348,0.007842962,0.272304163,0.137912557,0.356286977,0.192937399,0.007997104,0.357334719,0.211690498,0.218331373,0.162034361,0.011845683,0.346399172,0.218901362,0.223150217,0.167416035,0.010518089,0.297744343,0.187091656,0.28320658,0.187847309,0.011025881,0.436470586,0.1454458,0.185332207,0.177334451,0.010142767,0.388003484,0.215252982,0.131268908,0.222790728,0.01047784
Subject29_1,0.399045406,0.112574105,0.298461038,0.121726535,0.013687841,0.320074255,0.131574957,0.339873776,0.151404061,0.015070998,0.250276504,0.142294194,0.394766278,0.170625683,0.009779493,0.220370259,0.156579532,0.394875265,0.190722771,0.010472249,0.319865582,0.131395949,0.331287623,0.158768733,0.015203031,0.31985073,0.138961939,0.300911067,0.176463617,0.01636028,0.180266574,0.40003978,0.242004183,0.148266462,0.008734815,0.182415926,0.178799243,0.418275092,0.189366652,0.008391997,0.201009754,0.165383923,0.40130675,0.195409586,0.009037529,0.176994047,0.18197381,0.416988372,0.195306367,0.007748326,0.230280329,0.171195124,0.362820028,0.195813487,0.008370229,0.117875102,0.139083573,0.553058201,0.166735501,0.00488549,0.132108962,0.159171329,0.51895919,0.166112098,0.004695738,0.246125154,0.133889763,0.448804235,0.131048006,0.003603952,0.092079879,0.115010846,0.641749254,0.133366633,0.003380243,0.082435297,0.110044917,0.674468686,0.115776768,0.003199947,0.218883,0.155316238,0.406296054,0.184397243,0.009111048,0.181666782,0.177924887,0.42713953,0.182577573,0.008407482,0.115213851,0.152846675,0.56603064,0.144923941,0.004151939,0.314110506,0.164669501,0.249062871,0.216155857,0.017569898,0.436610118,0.156330258,0.088969707,0.239519593,0.031252114
Subject32_1,0.285662023,0.249618317,0.297935341,0.119732814,0.012677078,0.401448504,0.268432366,0.173578083,0.102703385,0.009333873,0.301478627,0.30728233,0.239800137,0.106290423,0.008403285,0.301432975,0.307776725,0.236352668,0.109111353,0.008305982,0.438994981,0.226520169,0.166009891,0.102195053,0.011247976,0.480419477,0.218681601,0.13703409,0.09695544,0.011484752,0.248710102,0.31349994,0.293056631,0.103573508,0.009571762,0.21822716,0.324665568,0.325770138,0.09662812,0.006920716,0.241211357,0.329146104,0.292527624,0.096492351,0.008781745,0.230701197,0.339439008,0.291944707,0.100344403,0.008283231,0.215209831,0.287035094,0.319057397,0.133279502,0.014570468,0.128415504,0.3243922,0.436945788,0.08691657,0.006488187,0.185871245,0.323269129,0.334748864,0.116287012,0.012447981,0.181194196,0.324521732,0.348785666,0.112253312,0.008294296,0.153174824,0.255852157,0.324289312,0.188399885,0.045951591,0.169119428,0.285652534,0.330591747,0.155150711,0.029618683,0.296136205,0.310535037,0.24281876,0.107113176,0.007978234,0.251411001,0.334043553,0.27387237,0.099824879,0.00992803,0.203413594,0.331961155,0.308341315,0.117578835,0.01045982,0.356922605,0.215990121,0.194914377,0.162212217,0.021525284,0.286161766,0.160738285,0.146885071,0.35912156,0.018446794
Subject28_1,0.321773083,0.226685698,0.224716641,0.177934185,0.009923952,0.272303461,0.22151017,0.265024611,0.198002917,0.00986776,0.319789483,0.224018904,0.219384306,0.191386754,0.009077988,0.268771471,0.227555498,0.24781281,0.213352335,0.010334176,0.306691135,0.227585801,0.246426236,0.176184498,0.007723059,0.283009334,0.310691907,0.190924863,0.165626674,0.012813234,0.245786681,0.191139918,0.299818635,0.227342281,0.008230976,0.292178948,0.196551594,0.240004349,0.224889893,0.010262613,0.280365491,0.210225486,0.259772701,0.210944288,0.008399133,0.262381971,0.215128772,0.264902684,0.218248757,0.008639548,0.150320222,0.166228755,0.365420872,0.288950716,0.009712168,0.383528332,0.162129326,0.219185215,0.175889923,0.00802981,0.208194567,0.179336189,0.333763598,0.246749912,0.006818269,0.219338022,0.186627131,0.337581076,0.224147325,0.00627744,0.173496916,0.147371991,0.407795092,0.243677744,0.005988466,0.140362413,0.181827283,0.473391646,0.182994192,0.004436545,0.3191657,0.235837226,0.218651601,0.180618023,0.009223507,0.262763396,0.211136737,0.260977971,0.222339626,0.011054343,0.225773593,0.177835576,0.350586524,0.212625995,0.006581215,0.246205392,0.245554121,0.212973283,0.24880113,0.015007642,0.554807926,0.134444498,0.088912638,0.152764801,0.006169886
Subject03_1,0.408447231,0.169546953,0.227061029,0.118957317,0.017771835,0.285882144,0.204267701,0.323796891,0.133475097,0.017734138,0.240651923,0.242556457,0.346926832,0.12989031,0.009357371,0.266919773,0.230624224,0.337216447,0.128498828,0.008774735,0.317338278,0.196713168,0.282739135,0.140028885,0.019820782,0.341295481,0.202994778,0.272520965,0.129748734,0.012279582,0.284113477,0.214913269,0.330922625,0.122785467,0.011477819,0.270045824,0.220236119,0.3263408,0.137341718,0.011500717,0.244323148,0.275217828,0.336949255,0.107084523,0.008320937,0.215658528,0.253158141,0.379729701,0.113660818,0.008156926,0.197812398,0.219461642,0.429496063,0.114332006,0.011946515,0.206442838,0.188204661,0.451532804,0.115707032,0.008768375,0.178407402,0.239160277,0.441769845,0.110717789,0.008505871,0.160602669,0.226495506,0.476317657,0.108563404,0.007213946,0.139955009,0.206676789,0.541426477,0.08809183,0.005043495,0.16732921,0.217628316,0.46655041,0.120048513,0.006898239,0.227148636,0.239464017,0.367940823,0.127604508,0.009122674,0.169721799,0.389603581,0.321104781,0.091476086,0.006376835,0.177881434,0.224937047,0.490145276,0.080723239,0.005188508,0.3046618,0.196172217,0.293299965,0.155251519,0.013813529,0.334386272,0.221978993,0.163058317,0.238310091,0.0182098
Subject30_1,0.167146311,0.217007611,0.389342961,0.183535623,0.018725788,0.144055275,0.225398016,0.373727289,0.20846262,0.023131727,0.200103725,0.226715015,0.335585981,0.191816689,0.015779158,0.168690901,0.221524911,0.366058691,0.2003625,0.016856975,0.238408891,0.195337046,0.345415356,0.165859059,0.017120194,0.314726148,0.191978298,0.255111,0.168499542,0.018982325,0.288253026,0.175081896,0.271729541,0.210972572,0.016188919,0.279218534,0.230035084,0.302285107,0.135389882,0.015886422,0.196420262,0.217427905,0.378229341,0.171651847,0.01038102,0.244951676,0.261728732,0.31883178,0.130873045,0.0113109,0.213262902,0.175643541,0.410848691,0.150761154,0.017027529,0.119177807,0.189629817,0.448805175,0.191196128,0.02639964,0.15480751,0.200195407,0.492418846,0.124363172,0.007249693,0.139282416,0.192926768,0.544014945,0.099758383,0.005587532,0.135663367,0.169807247,0.569605578,0.097872586,0.006976054,0.128484162,0.191864371,0.561032749,0.09599946,0.005765582,0.258341921,0.226933446,0.293596801,0.169964779,0.015019876,0.160796023,0.2435729,0.397392502,0.160496618,0.013752702,0.169155999,0.202064225,0.50855277,0.092694466,0.005932705,0.230082524,0.186874338,0.312519798,0.207827777,0.023158512,0.21252842,0.230450137,0.133407502,0.384401024,0.022956601
Subject27_1,0.373305996,0.251796592,0.200368847,0.112361019,0.018187599,0.190615768,0.277296608,0.277543174,0.175944799,0.043489557,0.266473978,0.303077052,0.260900828,0.129794819,0.010631237,0.227860197,0.286101531,0.289627415,0.152509366,0.015279457,0.340978187,0.241507032,0.221838793,0.130653259,0.017721907,0.129554917,0.230957526,0.345080067,0.217415804,0.044360416,0.309827553,0.227215597,0.259068638,0.151767124,0.013926775,0.225141633,0.192690445,0.287687272,0.236484213,0.023367747,0.315109383,0.224075548,0.269000796,0.143172853,0.012476896,0.256563798,0.225032631,0.295908622,0.177465856,0.014242225,0.324754748,0.19752737,0.237219703,0.179534717,0.016947232,0.249172284,0.153251942,0.3654467,0.176889016,0.015886093,0.306859362,0.205798718,0.279810112,0.159206688,0.01226311,0.240998502,0.183484952,0.366103485,0.16729857,0.011327193,0.216095944,0.181921244,0.442306483,0.123852037,0.007438658,0.216746528,0.159719342,0.471854173,0.109877727,0.006787034,0.270233176,0.303839317,0.26017348,0.126866284,0.010072154,0.265866092,0.232059718,0.299501403,0.158098401,0.013828424,0.280679213,0.197130458,0.328748161,0.148587026,0.011088088,0.278581167,0.24380297,0.188185563,0.233265866,0.022564332,0.314968488,0.264646094,0.16819267,0.222675741,0.009597539
Subject06_1,0.469254715,0.2012313,0.131216102,0.130844565,0.012600643,0.480880827,0.205705905,0.116411951,0.1279336,0.012437369,0.498735107,0.18486131,0.116543113,0.127314302,0.012873367,0.41997596,0.210629598,0.153787184,0.154819187,0.012600134,0.542018392,0.167353352,0.095932459,0.114556106,0.012605642,0.455133141,0.19176731,0.142908367,0.145014712,0.011939809,0.471985795,0.17201832,0.146527003,0.138252525,0.013077541,0.358139819,0.177345743,0.266166313,0.146429368,0.010223889,0.387183366,0.197753426,0.201741134,0.151660489,0.013055877,0.391326489,0.191641582,0.223977829,0.137462733,0.010300084,0.411301097,0.159044829,0.172770915,0.174888981,0.021586729,0.27423278,0.149637757,0.383623203,0.148599317,0.010969786,0.31607444,0.148736175,0.300643675,0.172678634,0.018840694,0.314368113,0.157428421,0.347966526,0.133903737,0.009784379,0.271293786,0.120829889,0.319472095,0.197300998,0.040811624,0.265636012,0.142724786,0.398066854,0.142800157,0.016251065,0.425780668,0.218302353,0.147976499,0.146225803,0.012318659,0.389155736,0.208383622,0.202088126,0.140454711,0.011719783,0.320763437,0.160147901,0.3125656,0.154499719,0.012848519,0.395069208,0.150042869,0.204108371,0.1762988,0.022037835,0.485430842,0.147217581,0.074296157,0.223744219,0.006818406
Subject04_1,0.426851348,0.223333699,0.118899661,0.173704249,0.009144838,0.52301457,0.161957968,0.093966449,0.136112665,0.011847004,0.425876404,0.206119747,0.126458753,0.187326855,0.007955507,0.413188456,0.197855485,0.128629065,0.201369501,0.00854729,0.425760681,0.220537634,0.123551939,0.168873021,0.010197715,0.566516407,0.145420673,0.085220483,0.113373298,0.00935773,0.382128822,0.214713508,0.153220794,0.173999084,0.022266192,0.433948694,0.186279789,0.17049313,0.144333838,0.009499169,0.380163758,0.189982994,0.211921248,0.160715294,0.009293493,0.391183654,0.19170116,0.184284751,0.176595588,0.010887091,0.415239658,0.202317613,0.169584208,0.141805456,0.016386745,0.447667777,0.169178248,0.188704755,0.126504005,0.007894807,0.344762949,0.184419759,0.275129137,0.146073011,0.008054867,0.300493508,0.189621521,0.323184811,0.142464628,0.006583,0.276116292,0.17410914,0.3432982,0.162158912,0.007458842,0.397928905,0.154281907,0.271183448,0.123263854,0.005810197,0.406303601,0.219570782,0.125064092,0.195283077,0.008971838,0.411477016,0.18606038,0.179901403,0.163968137,0.009850406,0.310187596,0.169108945,0.325621899,0.148851899,0.007427533,0.44412876,0.199276934,0.142904619,0.141039001,0.014013647,0.420969272,0.142484638,0.130235815,0.224993838,0.017325704
Subject34_1,0.314123174,0.180677136,0.273873011,0.169411008,0.016403384,0.281225501,0.193311672,0.288469493,0.172459213,0.023370601,0.328302998,0.210515736,0.2432113,0.166017119,0.010917879,0.248232049,0.208103749,0.328082104,0.170049188,0.012828615,0.340097145,0.18318862,0.251439467,0.162729678,0.015199283,0.323653405,0.184283659,0.255495216,0.176011991,0.016821532,0.238998621,0.164128868,0.404272374,0.14997516,0.009274704,0.299226025,0.17290721,0.296919961,0.178069844,0.012511523,0.314991733,0.185980657,0.281671428,0.16622723,0.01071448,0.288991703,0.172129766,0.299254882,0.189215315,0.011127688,0.291560088,0.165878318,0.33663619,0.154597736,0.01150181,0.302292414,0.201677059,0.267464059,0.177151646,0.015166345,0.265503659,0.151257321,0.39099967,0.145544189,0.008755449,0.293817202,0.155869213,0.336675275,0.159299559,0.010118634,0.201860896,0.135791661,0.464781395,0.148744665,0.013770785,0.247061395,0.135603868,0.34473683,0.192615425,0.030085846,0.282462362,0.196884666,0.306364251,0.164282289,0.012117252,0.333837905,0.189169605,0.239281126,0.182629091,0.010969906,0.281043944,0.175009098,0.350975383,0.142642823,0.008035091,0.391015941,0.133705116,0.162524055,0.214372206,0.034534406,0.435323784,0.208940938,0.109607018,0.197887779,0.005265135
Subject35_1,0.447929011,0.183849005,0.117860432,0.174948298,0.018961247,0.38227192,0.196202286,0.128294252,0.210662201,0.026780536,0.465098778,0.187355042,0.103892579,0.166537217,0.017487149,0.436150086,0.201803109,0.1035391,0.187053649,0.01880991,0.499309218,0.165455508,0.092309735,0.154746592,0.020980283,0.424542751,0.165079002,0.104925081,0.218529653,0.026801615,0.409514645,0.157696639,0.140920293,0.221094873,0.020662715,0.513295783,0.149985331,0.079642236,0.166087104,0.020784264,0.446213226,0.186526914,0.111752824,0.173256942,0.021661193,0.451183761,0.205624272,0.100276048,0.162796641,0.020279471,0.40214823,0.159843359,0.121897344,0.222767702,0.033200243,0.484612514,0.126578771,0.112280222,0.185674989,0.020326352,0.423250732,0.152552133,0.137730621,0.210093299,0.021469895,0.444014003,0.147055723,0.145416191,0.177368267,0.018738541,0.28563417,0.116222814,0.258755883,0.278691845,0.019536293,0.364331574,0.121986743,0.230129419,0.211512312,0.017423162,0.413465626,0.204713988,0.122304355,0.187570083,0.019536304,0.522226158,0.183665327,0.091064482,0.130205584,0.017203637,0.4268443,0.149900453,0.156603236,0.18802186,0.019639612,0.446871153,0.154171546,0.106954013,0.189728176,0.031819849,0.321652568,0.105082695,0.158601149,0.369633603,0.010777824
Subject33_1,0.464849655,0.183145426,0.19460371,0.098512363,0.011292771,0.424036354,0.200907255,0.216925823,0.106129658,0.011146992,0.400244381,0.205382717,0.23389981,0.113718676,0.008732828,0.42793223,0.192919585,0.218642279,0.107395119,0.008124895,0.560467137,0.177868072,0.123528326,0.076086188,0.009636713,0.376272127,0.17936021,0.262529807,0.130862078,0.011726531,0.355103051,0.194853748,0.277602232,0.129113469,0.01163048,0.369626882,0.201506083,0.251579385,0.129463647,0.010379158,0.322222935,0.187669827,0.321956798,0.128004111,0.009340078,0.344067128,0.194885414,0.292710815,0.126093999,0.010177273,0.311633091,0.171911446,0.339417553,0.140120989,0.009748427,0.196346523,0.125571445,0.510055994,0.140604776,0.006004064,0.184847793,0.110175213,0.527936954,0.152617685,0.005058326,0.18940047,0.115292541,0.541195851,0.13096568,0.004453955,0.121786696,0.081621051,0.63012842,0.150668595,0.00327657,0.142487059,0.102881779,0.595538815,0.140340372,0.00425929,0.387448399,0.203519191,0.249127051,0.114735671,0.008359744,0.374545939,0.191352795,0.271860116,0.116803817,0.009836218,0.191807605,0.117438803,0.528889676,0.137268819,0.004863171,0.50466321,0.227891036,0.115118062,0.100636526,0.011596152,0.347987779,0.084143703,0.183176173,0.332855511,0.013798079
Subject07_1,0.336591753,0.273414101,0.145924742,0.155201874,0.031172066,0.390929031,0.232552061,0.131410077,0.15178504,0.028856287,0.298632833,0.336618108,0.1599492,0.142099344,0.019179157,0.247654198,0.347871331,0.178924729,0.166600671,0.02109839,0.439029433,0.234738201,0.117978895,0.125522317,0.022453347,0.433214505,0.207774356,0.117164464,0.143153719,0.026725029,0.325677095,0.354504968,0.168365493,0.09863119,0.011628695,0.328694752,0.288352377,0.196647459,0.120063887,0.019232967,0.287816756,0.376810167,0.176787698,0.109294748,0.012184529,0.266708116,0.374250058,0.20304665,0.112809583,0.009224625,0.289865917,0.324342664,0.194086109,0.129731596,0.018765439,0.336023508,0.282022551,0.215227794,0.10954969,0.012237132,0.249482337,0.428815985,0.214122754,0.072138557,0.006232876,0.225264532,0.431270586,0.227303535,0.081372432,0.00690679,0.254008115,0.404609562,0.199373433,0.104237145,0.007656353,0.248411762,0.396159006,0.211602084,0.104193113,0.007723268,0.290711252,0.353528278,0.172289397,0.135796925,0.01073772,0.297362306,0.395276051,0.174801759,0.091471104,0.00716464,0.204468281,0.480907811,0.223190263,0.062308901,0.004320486,0.479527251,0.121493985,0.109944879,0.166585455,0.041952608,0.345480119,0.159040398,0.122215708,0.261610874,0.064346141
Subject05_1,0.504253473,0.175315615,0.154215969,0.082279929,0.011948408,0.165114283,0.299808807,0.285385887,0.180468748,0.034918963,0.34326234,0.252230274,0.243100924,0.107862366,0.010079582,0.30942821,0.276036009,0.252170048,0.115718521,0.009296349,0.518588402,0.153593184,0.169263763,0.077374323,0.010111471,0.432495232,0.204316948,0.180614592,0.104503029,0.015612642,0.409269979,0.186132434,0.235258428,0.102125635,0.010754109,0.34831666,0.200207753,0.288903433,0.106115596,0.011292619,0.272696045,0.232624193,0.337576295,0.111742498,0.009958914,0.246157523,0.225554095,0.380528247,0.105419678,0.008670462,0.198234212,0.186244076,0.382094465,0.166143799,0.032544904,0.185643625,0.2372411,0.433121056,0.105814516,0.00991276,0.159298403,0.164447014,0.546893169,0.101386786,0.006841444,0.137676408,0.146533622,0.603369152,0.086385765,0.006230615,0.092350876,0.136592885,0.683104815,0.070746656,0.004013514,0.091619821,0.122158224,0.70124324,0.067817973,0.003621293,0.3555389,0.252781843,0.230183549,0.104370867,0.009869062,0.28193892,0.247025003,0.322334455,0.104883875,0.008703043,0.212396544,0.150285623,0.52022712,0.083291332,0.006154297,0.418281608,0.174295157,0.184936586,0.162253555,0.012617087,0.356033942,0.157908451,0.118885351,0.32057479,0.014647531
Subject09_1,0.368822305,0.238514731,0.212027521,0.099868995,0.024639184,0.37294418,0.251178061,0.223791165,0.081813629,0.016218156,0.390518828,0.304703597,0.189047492,0.059300512,0.009022957,0.397861505,0.287562232,0.198019164,0.058853823,0.007967132,0.39060506,0.239275972,0.183792207,0.094634221,0.030792278,0.349050702,0.242946485,0.234362014,0.105827921,0.02000393,0.471992974,0.240009797,0.137074694,0.076093473,0.013065099,0.425709513,0.249873473,0.173892607,0.072959733,0.010126276,0.411276593,0.293156229,0.175992275,0.061558416,0.006532118,0.360047595,0.311184875,0.21580107,0.059499213,0.006227579,0.447610497,0.225409996,0.159193578,0.090413004,0.012423604,0.280363415,0.225929896,0.294125088,0.140049289,0.014064082,0.359378949,0.281274199,0.209122679,0.096936866,0.008458555,0.309846231,0.265761794,0.295395592,0.079157519,0.006225303,0.283444747,0.223517416,0.354548507,0.090281645,0.007893254,0.237349442,0.195524808,0.428640017,0.095293076,0.008423074,0.397224393,0.308709006,0.189619703,0.05408719,0.006308648,0.365419681,0.330278132,0.201591446,0.051571527,0.005597955,0.303267127,0.287168766,0.294279869,0.068506884,0.005335325,0.284419132,0.246864879,0.205012267,0.182053556,0.036849575,0.251387349,0.163267301,0.155959053,0.379976914,0.017924982
